"ID","Esame","Corso","Code"
"141","Fondamenti di costruzione di macchine","06126","00034"
"142","Fondamenti di costruzioni di macchine","06122","00042"
"143","Fondamenti di elettronica","06124","00010"
"144","Fondamenti di geotecnica","06121","00024"
"145","Fondamenti di geotecnica","06125","00026"
"146","Fondamenti di informatica","06125","00006"
"147","Fondamenti di informatica","06124","00005"
"148","Fondamenti di informatica","06121","00006"
"149","Fondamenti di informatica","06122","00003"
"150","Fondamenti di informatica e programmazione","06123","00054"
"151","Fondamenti di informatica e programmazione","06126","00046"
"152","Fondamenti di misure e strumentazione virtuale","06222","00010"
"153","Fondamenti di programmazione","06127","00106"
"154","Fondamenti di tecnica urbanistica","06225","00032"
"155","Fondamenti di tecnica urbanistica","06221","00039"
"156","Fondazioni","06221","00010"
"157","Fondazioni","06601","00042"
"158","Food packaging - materiali per imballaggi","06228","00006"
"159","Food preservation - conservazione degli alimenti","06228","00030"
"160","Food process technology - processi delle tecnologie alimentari","06228","00004"
"161","Fotovoltaico ed optoelettronica","06224","00008"
"162","Geologia","06125","00010"
"163","Geologia","06121","00012"
"164","Geometria","06601","00002"
"165","Geometria,algebra e logica","06127","00114"
"166","Geotecnica","06225","00002"
"167","Geotecnica","06221","00003"
"168","Geotecnica","06601","00028"
"169","Gestione aziendale","06126","00026"
"170","Gestione degli impianti di processo","06126","00025"
"171","Gestione dei progetti industriali","06226","00034"
"172","Gestione dei progetti industriali","06223","00027"
"173","Gestione dell'Energia Termica e Frigorifera","06226","00018"
"174","Gestione dell'innovazione e della tecnologia","06226","00010"
"175","Gestione delle risorse idriche","06225","00017"
"176","Gestione delle risorse idriche","06221","00020"
"177","Grafica computazionale tecnica","06123","00016"
"178","Green energy digital control","06227","00053"
"179","Hybrid vehicles","06223","00035"
"180","Hydro-geomorphology","06225","00031"
"181","Hydro-geomorphology","06221","00042"
"182","Idraulica e costruzioni idrauliche","06601","00029"
"183","Idraulica e fluidodinamica ambientale","06125","00035"
"184","Idraulica I","06121","00008"
"185","Idraulica II","06221","00004"
"186","Idraulica II","06225","00003"
"187","Idraulica marittima","06225","00012"
"188","Idraulica marittima","06221","00017"
"189","Idrologia","06225","00014"
"190","Idrologia","06221","00030"
"191","Impianti ad energie rinnovabili","06123","00036"
"192","Impianti ad energie rinnovabili","06126","00029"
"193","Impianti chimici II","06222","00008"
"194","Impianti chimici innovativi","06222","00016"
"195","Impianti dell'industria alimentare I","06122","00026"
"196","Impianti dell'industria chimica","06122","00030"
"197","Impianti dell'industria di processo","06122","00019"
"198","Impianti di condizionamento","06123","00033"
"199","Industrial microbiology - microbiologia industriale","06228","00021"
"200","Informatica grafica","06601","00023"
"201","Ingegneria chimica ambientale","06122","00036"
"202","Innovation in unit operations - impianti chimici innovativi","06228","00014"
"203","Intelligenza artificiale","06227","00020"
"204","Intelligenza energetica","06227","00031"
"205","Internet of things","06127","00109"
"206","Laboratorio di creazione d'impresa","06226","00019"
"207","Laboratorio di creazione d'impresa","06223","00022"
"208","Laboratorio di elettronica","06124","00027"
